keyword,count,pledgeCount,candidateCount,candidateRate,countPerCandidate,score,electedCount,electedPledgeCount,electedCandidateCount,nonElectedCount,nonElectedPledgeCount,nonElectedCandidateCount
직접,342,264,187,0.2926,0.5352,10.2957,114,89,62,228,175,125
관리,325,236,170,0.266,0.5086,10.2837,119,89,63,206,147,107
경제,590,412,290,0.4538,0.9233,10.2705,199,151,107,391,261,183
사업목표,31,15,4,0.0063,0.0485,10.2678,5,5,1,26,10,3
재개발,249,123,107,0.1674,0.3897,10.2427,117,55,43,132,68,64
클러스터,321,215,174,0.2723,0.5023,10.2425,138,96,77,183,119,97
발전,330,243,187,0.2926,0.5164,10.2329,134,93,73,196,150,114
노동자,110,46,33,0.0516,0.1721,10.2233,25,12,10,85,34,23
전면,313,242,169,0.2645,0.4898,10.2219,96,79,59,217,163,110
설계,325,270,185,0.2895,0.5086,10.2147,100,86,65,225,184,120
소득,297,192,155,0.2426,0.4648,10.2023,128,81,67,169,111,88
아이,312,191,175,0.2739,0.4883,10.1875,139,89,79,173,102,96
시스템,786,513,318,0.4977,1.23,10.18,295,193,113,491,320,205
생태계,317,233,184,0.2879,0.4961,10.1751,167,118,92,150,115,92
실행기간,19,5,1,0.0016,0.0297,10.1698,0,0,0,19,5,1
거점,554,414,290,0.4538,0.867,10.1693,258,186,131,296,228,159
국가,304,225,170,0.266,0.4757,10.1654,114,86,65,190,139,105
물류,261,148,127,0.1987,0.4085,10.153,125,70,59,136,78,68
해소,503,408,283,0.4429,0.7872,10.1505,217,178,114,286,230,169
주요,309,248,180,0.2817,0.4836,10.1477,126,98,67,183,150,113
전문,320,246,195,0.3052,0.5008,10.146,110,85,70,210,161,125
건설,289,200,158,0.2473,0.4523,10.137,127,86,65,162,114,93
연결,312,240,192,0.3005,0.4883,10.1136,120,100,76,192,140,116
공급,257,161,129,0.2019,0.4022,10.1099,87,62,50,170,99,79
완화,316,258,200,0.313,0.4945,10.1044,126,106,85,190,152,115
친환경,284,195,160,0.2504,0.4444,10.0952,103,73,61,181,122,99
