keyword,totalCount,totalPledgeCount,totalCandidateCount,electedCount,electedPledgeCount,electedCandidateCount,electedCountPerCandidate,nonElectedCount,nonElectedPledgeCount,nonElectedCandidateCount,nonElectedCountPerCandidate,perCandidateDifference,moreObservedIn
인프라 확충,201,201,156,103,103,76,0.4239,98,98,80,0.2475,0.1764,elected
민간자본 유치,37,37,19,27,27,11,0.1111,10,10,8,0.0253,0.0858,elected
역세권 개발,42,42,40,27,27,26,0.1111,15,15,14,0.0379,0.0732,elected
청년 창업,91,91,86,45,45,43,0.1852,46,46,43,0.1162,0.069,elected
아이 키우기,85,85,80,42,42,38,0.1728,43,43,42,0.1086,0.0642,elected
ai 스마트,42,42,36,25,25,20,0.1029,17,17,16,0.0429,0.06,elected
양질 일자리,110,110,104,50,50,47,0.2058,60,60,57,0.1515,0.0543,elected
산업 거점,13,13,12,12,12,11,0.0494,0,0,0,0,0.0494,elected
시설 현대화,31,31,29,19,19,18,0.0782,12,12,11,0.0303,0.0479,elected
민간투자 유치,66,66,51,18,18,17,0.0741,48,48,34,0.1212,-0.0471,non-elected
디지털 전환,40,40,38,22,22,20,0.0905,18,18,18,0.0455,0.045,elected
부담 최소화,73,73,55,21,21,19,0.0864,52,52,36,0.1313,-0.0449,non-elected
일자리 창출,314,314,252,126,126,99,0.5185,188,188,153,0.4747,0.0438,elected
역사 문화,33,33,33,19,19,19,0.0782,14,14,14,0.0354,0.0428,elected
초기검토 숙의기간,10,10,2,10,10,2,0.0412,0,0,0,0,0.0412,elected
기후위기 대응,26,26,24,16,16,14,0.0658,10,10,10,0.0253,0.0405,elected
세출 구조조정,21,21,15,14,14,9,0.0576,7,7,6,0.0177,0.0399,elected
아이 어르신,29,29,29,17,17,17,0.07,12,12,12,0.0303,0.0397,elected
소외되지 않는,17,17,15,12,12,10,0.0494,5,5,5,0.0126,0.0368,elected
청년 일자리,109,109,99,36,36,32,0.1481,73,73,67,0.1843,-0.0362,non-elected
골목형 상점,12,12,12,10,10,10,0.0412,2,2,2,0.0051,0.0361,elected
교육 프로그램,36,36,33,19,19,18,0.0782,17,17,15,0.0429,0.0353,elected
체육시설 확충,15,15,15,11,11,11,0.0453,4,4,4,0.0101,0.0352,elected
어르신 일자리,23,23,23,14,14,14,0.0576,9,9,9,0.0227,0.0349,elected
아동 청소년,37,37,35,9,9,9,0.037,28,28,26,0.0707,-0.0337,non-elected
광역 교통망,34,34,32,18,18,16,0.0741,16,16,16,0.0404,0.0337,elected
임기중 지속,8,8,2,8,8,2,0.0329,0,0,0,0,0.0329,elected
온라인 판매,14,14,14,0,0,0,0,13,13,13,0.0328,-0.0328,non-elected
장애인 취약계층,11,11,11,9,9,9,0.037,2,2,2,0.0051,0.0319,elected
최우선 순위,11,11,6,9,9,4,0.037,2,2,2,0.0051,0.0319,elected
활기찬 노후,11,11,11,9,9,9,0.037,2,2,2,0.0051,0.0319,elected
문화 예술,35,35,34,18,18,17,0.0741,17,17,17,0.0429,0.0312,elected
빈집 리모델링,12,12,12,0,0,0,0,12,12,12,0.0303,-0.0303,non-elected
인허 패스트트랙,12,12,11,0,0,0,0,12,12,11,0.0303,-0.0303,non-elected
국가철도망 구축계획,54,54,53,25,25,24,0.1029,29,29,29,0.0732,0.0297,elected
촘촘한 복지,20,20,20,12,12,12,0.0494,8,8,8,0.0202,0.0292,elected
산업 생태계,49,49,47,23,23,23,0.0947,26,26,24,0.0657,0.029,elected
기후변화 대응,8,8,8,7,7,7,0.0288,0,0,0,0,0.0288,elected
청년 친화도시,7,7,7,7,7,7,0.0288,0,0,0,0,0.0288,elected
교육 인프라,36,36,35,18,18,18,0.0741,18,18,17,0.0455,0.0286,elected
생활 인프라,36,36,36,18,18,18,0.0741,18,18,18,0.0455,0.0286,elected
시대 열겠습니다,12,12,11,0,0,0,0,11,11,10,0.0278,-0.0278,non-elected
ppp 방식,12,12,11,0,0,0,0,11,11,10,0.0278,-0.0278,non-elected
문화 체육,39,39,37,19,19,18,0.0782,20,20,19,0.0505,0.0277,elected
어르신 장애인,26,26,24,14,14,13,0.0576,12,12,11,0.0303,0.0273,elected
공공기관 유치,34,34,34,17,17,17,0.07,17,17,17,0.0429,0.0271,elected
도로망 확충,13,13,13,9,9,9,0.037,4,4,4,0.0101,0.0269,elected
부지 개발,13,13,12,9,9,8,0.037,4,4,4,0.0101,0.0269,elected
정부 지원사업,13,13,8,9,9,5,0.037,4,4,3,0.0101,0.0269,elected
모두 행복한,16,16,16,10,10,10,0.0412,6,6,6,0.0152,0.026,elected
문화 프로그램,16,16,16,10,10,10,0.0412,6,6,6,0.0152,0.026,elected
총사업비 규모,16,16,11,10,10,6,0.0412,6,6,5,0.0152,0.026,elected
학교 지역사회,11,11,10,8,8,7,0.0329,3,3,3,0.0076,0.0253,elected
환경 정비,11,11,11,8,8,8,0.0329,3,3,3,0.0076,0.0253,elected
어르신 복지,19,19,19,11,11,11,0.0453,8,8,8,0.0202,0.0251,elected
부담 줄이고,23,23,20,5,5,5,0.0206,18,18,15,0.0455,-0.0249,non-elected
참여 유도,23,23,23,5,5,5,0.0206,18,18,18,0.0455,-0.0249,non-elected
대기업 본사,7,7,3,6,6,2,0.0247,0,0,0,0,0.0247,elected
복지 향상,7,7,7,6,6,6,0.0247,0,0,0,0,0.0247,elected
세대 아우르,7,7,7,6,6,6,0.0247,0,0,0,0,0.0247,elected
청년 참여,7,7,7,6,6,6,0.0247,0,0,0,0,0.0247,elected
행정절차 따라,7,7,5,6,6,4,0.0247,0,0,0,0,0.0247,elected
ai 신산업,7,7,7,6,6,6,0.0247,0,0,0,0,0.0247,elected
노인복지관 건립,6,6,4,6,6,4,0.0247,0,0,0,0,0.0247,elected
유치 지방세,6,6,2,6,6,2,0.0247,0,0,0,0,0.0247,elected
일자리 플랫폼,6,6,6,6,6,6,0.0247,0,0,0,0,0.0247,elected
주민대표 참여,6,6,2,6,6,2,0.0247,0,0,0,0,0.0247,elected
투자유치 공공,6,6,2,6,6,2,0.0247,0,0,0,0,0.0247,elected
편리 안전한,6,6,6,6,6,6,0.0247,0,0,0,0,0.0247,elected
야간 관광,15,15,14,2,2,2,0.0082,13,13,12,0.0328,-0.0246,non-elected
의료 복지,35,35,35,17,17,17,0.07,18,18,18,0.0455,0.0245,elected
관광 산업,22,22,21,12,12,12,0.0494,10,10,9,0.0253,0.0241,elected
기숙사 건립,9,9,9,7,7,7,0.0288,2,2,2,0.0051,0.0237,elected
요양 돌봄,9,9,9,7,7,7,0.0288,2,2,2,0.0051,0.0237,elected
경쟁력 제고,17,17,15,10,10,8,0.0412,7,7,7,0.0177,0.0235,elected
머물고 싶은,17,17,17,10,10,10,0.0412,7,7,7,0.0177,0.0235,elected
문화 복지,17,17,17,10,10,10,0.0412,7,7,7,0.0177,0.0235,elected
교육 환경,25,25,25,6,6,6,0.0247,19,19,19,0.048,-0.0233,non-elected
중심도시 도약,12,12,10,8,8,6,0.0329,4,4,4,0.0101,0.0228,elected
가시적 성과,10,10,9,0,0,0,0,9,9,8,0.0227,-0.0227,non-elected
교통 체계,10,10,10,0,0,0,0,9,9,9,0.0227,-0.0227,non-elected
민원 해결,10,10,10,0,0,0,0,9,9,9,0.0227,-0.0227,non-elected
생태 관광,9,9,8,0,0,0,0,9,9,8,0.0227,-0.0227,non-elected
있는 환경,20,20,19,11,11,10,0.0453,9,9,9,0.0227,0.0226,elected
주거 환경,28,28,28,14,14,14,0.0576,14,14,14,0.0354,0.0222,elected
체육 인프라,28,28,28,14,14,14,0.0576,14,14,14,0.0354,0.0222,elected
대학 연구기관,14,14,13,2,2,2,0.0082,12,12,11,0.0303,-0.0221,non-elected
소상공인 매출,36,36,34,17,17,16,0.07,19,19,18,0.048,0.022,elected
고독사 예방,15,15,15,9,9,9,0.037,6,6,6,0.0152,0.0218,elected
대중교통 이용,15,15,15,9,9,9,0.037,6,6,6,0.0152,0.0218,elected
민간 협력사업,15,15,10,9,9,4,0.037,6,6,6,0.0152,0.0218,elected
주거 상업,15,15,15,9,9,9,0.037,6,6,6,0.0152,0.0218,elected
주거 창업,15,15,15,9,9,9,0.037,6,6,6,0.0152,0.0218,elected
청년 농업인,23,23,23,12,12,12,0.0494,11,11,11,0.0278,0.0216,elected
청소년 청년,19,19,18,4,4,4,0.0165,15,15,14,0.0379,-0.0214,non-elected
산업 유치,31,31,29,15,15,13,0.0617,16,16,16,0.0404,0.0213,elected
아동 청년,10,10,9,7,7,7,0.0288,3,3,2,0.0076,0.0212,elected
안전 쾌적한,10,10,10,7,7,7,0.0288,3,3,3,0.0076,0.0212,elected
여가 프로그램,10,10,10,7,7,7,0.0288,3,3,3,0.0076,0.0212,elected
재개발 재건축,60,60,58,26,26,24,0.107,34,34,34,0.0859,0.0211,elected
청년 신혼부부,60,60,57,26,26,25,0.107,34,34,32,0.0859,0.0211,elected
일자리 확충,18,18,18,10,10,10,0.0412,8,8,8,0.0202,0.021,elected
기업 투자,45,45,45,14,14,14,0.0576,31,31,31,0.0783,-0.0207,non-elected
유치 일자리,26,26,26,13,13,13,0.0535,13,13,13,0.0328,0.0207,elected
교통 요충지,6,6,6,5,5,5,0.0206,0,0,0,0,0.0206,elected
농협 생산자단체,6,6,5,5,5,4,0.0206,0,0,0,0,0.0206,elected
대표 문화,6,6,5,5,5,4,0.0206,0,0,0,0,0.0206,elected
명품 교육도시,6,6,6,5,5,5,0.0206,0,0,0,0,0.0206,elected
분야별 전문,6,6,6,5,5,5,0.0206,0,0,0,0,0.0206,elected
생활 밀접한,6,6,2,5,5,1,0.0206,0,0,0,0,0.0206,elected
어르신 병원,6,6,6,5,5,5,0.0206,0,0,0,0,0.0206,elected
없는 복지,6,6,6,5,5,5,0.0206,0,0,0,0,0.0206,elected
장애인 복지,6,6,6,5,5,5,0.0206,0,0,0,0,0.0206,elected
청소년 전용,6,6,6,5,5,5,0.0206,0,0,0,0,0.0206,elected
행정 인프라,6,6,6,5,5,5,0.0206,0,0,0,0,0.0206,elected
공유 의회보고,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
관계부처 충남,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
관련기관 비전 공유,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
국가보조사업 등을,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
기본계획수립 관련기관,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
기술 교육,5,5,5,5,5,5,0.0206,0,0,0,0,0.0206,elected
기초조사 연구용역,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
만성 이월금,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
민관협력사업체 구성,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
법인 개인 지방소득세,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
부족분 충당,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
사업기간 초과되,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
사업시행 사안별 단계별,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
사업자 설계,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
세부추진계획 재원규모,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
소요예산액 추정,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
스마트농업 육성지구,5,5,5,5,5,5,0.0206,0,0,0,0,0.0206,elected
연도 추진내용,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
예산확보 세부계획,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
예산확보 착공 준공,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
완료사업 중장기 계속사업,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
응모 참여,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
이월금 지출 구조조정,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
이행계획 임기중 중기과제,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
이행절차 관계법령,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
자연증가분 법인,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
정부지원 응모,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
제도 개선사항,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
지방소득세 취득세,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
지출 구조조정 민간자본,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
집중육성 지방세 자연증가분,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
추진목적 배경,5,5,1,5,5,1,0.0206,0,0,0,0,0.0206,elected
단계별 개발,16,16,13,3,3,3,0.0123,13,13,10,0.0328,-0.0205,non-elected
돌봄 부담,16,16,15,3,3,3,0.0123,13,13,12,0.0328,-0.0205,non-elected
농어촌 기본소득,37,37,37,11,11,11,0.0453,26,26,26,0.0657,-0.0204,non-elected
상업 문화,13,13,12,8,8,8,0.0329,5,5,4,0.0126,0.0203,elected
체육관 건립,13,13,13,8,8,8,0.0329,5,5,5,0.0126,0.0203,elected
신재생 에너지,9,9,8,0,0,0,0,8,8,7,0.0202,-0.0202,non-elected
운영비 절감,9,9,6,0,0,0,0,8,8,5,0.0202,-0.0202,non-elected
자율주행 셔틀,9,9,8,0,0,0,0,8,8,7,0.0202,-0.0202,non-elected
후보지 선정,9,9,9,0,0,0,0,8,8,8,0.0202,-0.0202,non-elected
it 기업,9,9,8,0,0,0,0,8,8,7,0.0202,-0.0202,non-elected
관광 랜드마크,8,8,8,0,0,0,0,8,8,8,0.0202,-0.0202,non-elected
교육 공간,8,8,8,0,0,0,0,8,8,8,0.0202,-0.0202,non-elected
실시간 공개,8,8,8,0,0,0,0,8,8,8,0.0202,-0.0202,non-elected
편의시설 확충,21,21,20,11,11,10,0.0453,10,10,10,0.0253,0.02,elected
관내 기업,8,8,7,6,6,5,0.0247,2,2,2,0.0051,0.0196,elected
농작업 대행,8,8,8,6,6,6,0.0247,2,2,2,0.0051,0.0196,elected
산업 메카,8,8,8,6,6,6,0.0247,2,2,2,0.0051,0.0196,elected
안정적 정착,8,8,8,6,6,6,0.0247,2,2,2,0.0051,0.0196,elected
협력 네트워크,8,8,7,6,6,5,0.0247,2,2,2,0.0051,0.0196,elected
ai 혁신,8,8,8,6,6,6,0.0247,2,2,2,0.0051,0.0196,elected
교통 인프라,37,37,37,17,17,17,0.07,20,20,20,0.0505,0.0195,elected
돌봄 시스템,16,16,15,9,9,8,0.037,7,7,7,0.0177,0.0193,elected
교통 복지,26,26,25,7,7,7,0.0288,19,19,18,0.048,-0.0192,non-elected
피지컬 ai,24,24,19,12,12,8,0.0494,12,12,11,0.0303,0.0191,elected
대상 ai,11,11,11,7,7,7,0.0288,4,4,4,0.0101,0.0187,elected
육성 일자리,11,11,11,7,7,7,0.0288,4,4,4,0.0101,0.0187,elected
전국대회 유치,11,11,10,7,7,7,0.0288,4,4,3,0.0101,0.0187,elected
지자체 공동,11,11,10,7,7,6,0.0288,4,4,4,0.0101,0.0187,elected
특별법 따른,11,11,8,7,7,4,0.0288,4,4,4,0.0101,0.0187,elected
선순환 구조,81,81,73,28,28,25,0.1152,53,53,48,0.1338,-0.0186,non-elected
에너지 전환,19,19,19,10,10,10,0.0412,9,9,9,0.0227,0.0185,elected
정착할 있는,19,19,19,10,10,10,0.0412,9,9,9,0.0227,0.0185,elected
ai 바이오,19,19,19,10,10,10,0.0412,9,9,9,0.0227,0.0185,elected
맞춤형 일자리,27,27,27,13,13,13,0.0535,14,14,14,0.0354,0.0181,elected
교육청 협력,15,15,15,3,3,3,0.0123,12,12,12,0.0303,-0.018,non-elected
문화 공간,15,15,15,3,3,3,0.0123,12,12,12,0.0303,-0.018,non-elected
청년 돌아오,15,15,14,3,3,3,0.0123,12,12,11,0.0303,-0.018,non-elected
생활권 통합,14,14,14,8,8,8,0.0329,6,6,6,0.0152,0.0177,elected
정주 환경,14,14,13,8,8,7,0.0329,6,6,6,0.0152,0.0177,elected
관광 숙박,8,8,8,0,0,0,0,7,7,7,0.0177,-0.0177,non-elected
교통 생활,8,8,8,0,0,0,0,7,7,7,0.0177,-0.0177,non-elected
생태하천 복원,8,8,8,0,0,0,0,7,7,7,0.0177,-0.0177,non-elected
시내버스 요금,8,8,7,0,0,0,0,7,7,6,0.0177,-0.0177,non-elected
인구감소 대응,8,8,7,0,0,0,0,7,7,6,0.0177,-0.0177,non-elected
주차 인프라,8,8,8,0,0,0,0,7,7,7,0.0177,-0.0177,non-elected
tf 신설,8,8,7,0,0,0,0,7,7,6,0.0177,-0.0177,non-elected
유치 가능성,7,7,7,0,0,0,0,7,7,7,0.0177,-0.0177,non-elected
지원금 지급,7,7,7,0,0,0,0,7,7,7,0.0177,-0.0177,non-elected
책임 행정,7,7,7,0,0,0,0,7,7,7,0.0177,-0.0177,non-elected
사각지대 해소,70,70,66,24,24,23,0.0988,46,46,43,0.1162,-0.0174,non-elected
첨단 산업,30,30,30,14,14,14,0.0576,16,16,16,0.0404,0.0172,elected
구조 만들겠습니다,12,12,10,2,2,2,0.0082,10,10,8,0.0253,-0.0171,non-elected
돌봄 센터,12,12,12,2,2,2,0.0082,10,10,10,0.0253,-0.0171,non-elected
교통 문화,9,9,9,6,6,6,0.0247,3,3,3,0.0076,0.0171,elected
낳고 키우기 좋은,9,9,9,6,6,6,0.0247,3,3,3,0.0076,0.0171,elected
소통 행정,9,9,9,6,6,6,0.0247,3,3,3,0.0076,0.0171,elected
어르신 모두,9,9,9,6,6,6,0.0247,3,3,3,0.0076,0.0171,elected
인증제 도입,9,9,9,6,6,6,0.0247,3,3,3,0.0076,0.0171,elected
재난 대응,9,9,9,6,6,6,0.0247,3,3,3,0.0076,0.0171,elected
파크골프장 확충,9,9,9,6,6,6,0.0247,3,3,3,0.0076,0.0171,elected
돌봄 체계,38,38,37,17,17,17,0.07,21,21,20,0.053,0.017,elected
에너지 산업,17,17,17,9,9,9,0.037,8,8,8,0.0202,0.0168,elected
좋은 일자리,17,17,15,9,9,8,0.037,8,8,7,0.0202,0.0168,elected
ai 데이터센터,25,25,24,7,7,7,0.0288,18,18,17,0.0455,-0.0167,non-elected
복지 인프라,25,25,25,12,12,12,0.0494,13,13,13,0.0328,0.0166,elected
건강한 성장,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
관내 소상공인,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
국가 균형발전,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
녹지 확충,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
농업 산업화,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
달빛어린이병원 지정,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
대응 인프라,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
도로 용수,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
모두 안심하,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
발전 수익금,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
법적 제도적,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
부품 산업,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
생산 중심에서,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
생성형 ai,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
선도 기업,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
안내 시스템,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
야간 휴일에,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
우수 기업,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
유치 창업,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
일자리 모델,5,5,4,4,4,3,0.0165,0,0,0,0,0.0165,elected
장애인 콜택시,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
재난 안전,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
창업 거점,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
천원 아침밥,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
청년농 육성,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
ai 첨단,5,5,5,4,4,4,0.0165,0,0,0,0,0.0165,elected
건축 조달방법,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
경제권 형성,4,4,4,4,4,4,0.0165,0,0,0,0,0.0165,elected
군민의견 수렴,4,4,2,4,4,2,0.0165,0,0,0,0,0.0165,elected
도로 상하수,4,4,4,4,4,4,0.0165,0,0,0,0,0.0165,elected
동시 완료시,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
따른 종합발전계획,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
민간재원 등과,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
발전 인프라,4,4,4,4,4,4,0.0165,0,0,0,0,0.0165,elected
사업성격 따라,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
상권 프로그램,4,4,4,4,4,4,0.0165,0,0,0,0,0.0165,elected
생활 안전,4,4,4,4,4,4,0.0165,0,0,0,0,0.0165,elected
섬종합발전계획 따른,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
세부금액 결정,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
세원 다각화,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
수렴 계획수립 사업시행,4,4,2,4,4,2,0.0165,0,0,0,0,0.0165,elected
숙박시설 확충,4,4,4,4,4,4,0.0165,0,0,0,0,0.0165,elected
안심 시스템,4,4,3,4,4,3,0.0165,0,0,0,0,0.0165,elected
안전 행정,4,4,4,4,4,4,0.0165,0,0,0,0,0.0165,elected
용역 사업시행 사안별,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
일상에서 문화,4,4,4,4,4,4,0.0165,0,0,0,0,0.0165,elected
자문 공청회,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
자체 계획수립,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
장애인 비장애인,4,4,4,4,4,4,0.0165,0,0,0,0,0.0165,elected
주민들 삶의,4,4,4,4,4,4,0.0165,0,0,0,0,0.0165,elected
중앙부처 승인 기관,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
창업 성장,4,4,4,4,4,4,0.0165,0,0,0,0,0.0165,elected
취임후 지속추진,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
콤팩트 시티,4,4,4,4,4,4,0.0165,0,0,0,0,0.0165,elected
통합 운영체계,4,4,3,4,4,3,0.0165,0,0,0,0,0.0165,elected
통합특별시 세원,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
핵심사업 지속,4,4,1,4,4,1,0.0165,0,0,0,0,0.0165,elected
전면 재검토,17,17,17,4,4,4,0.0165,13,13,13,0.0328,-0.0163,non-elected
통합 돌봄,33,33,33,15,15,15,0.0617,18,18,18,0.0455,0.0162,elected
교통 불편,12,12,12,7,7,7,0.0288,5,5,5,0.0126,0.0162,elected
산업 인프라,12,12,12,7,7,7,0.0288,5,5,5,0.0126,0.0162,elected
선제적 대응,12,12,12,7,7,7,0.0288,5,5,5,0.0126,0.0162,elected
안전 편리한,12,12,11,7,7,6,0.0288,5,5,5,0.0126,0.0162,elected
인공지능 ai,12,12,12,7,7,7,0.0288,5,5,5,0.0126,0.0162,elected
임대형 스마트팜,12,12,12,7,7,7,0.0288,5,5,5,0.0126,0.0162,elected
전통시장 골목상권,20,20,19,10,10,10,0.0412,10,10,9,0.0253,0.0159,elected
이상 어르신,22,22,21,6,6,5,0.0247,16,16,16,0.0404,-0.0157,non-elected
교통 환경,14,14,14,3,3,3,0.0123,11,11,11,0.0278,-0.0155,non-elected
특화단지 지정,14,14,12,3,3,3,0.0123,11,11,9,0.0278,-0.0155,non-elected
tf팀 구성,14,14,9,3,3,3,0.0123,11,11,6,0.0278,-0.0155,non-elected
경영 컨설팅,7,7,7,5,5,5,0.0206,2,2,2,0.0051,0.0155,elected
관광 구조,7,7,7,5,5,5,0.0206,2,2,2,0.0051,0.0155,elected
그냥 해드림,7,7,7,5,5,5,0.0206,2,2,2,0.0051,0.0155,elected
글로벌 인재 양성,7,7,7,5,5,5,0.0206,2,2,2,0.0051,0.0155,elected
도입 ai,7,7,7,5,5,5,0.0206,2,2,2,0.0051,0.0155,elected
산업 연구,7,7,7,5,5,5,0.0206,2,2,2,0.0051,0.0155,elected
스트레스 해소,7,7,7,5,5,5,0.0206,2,2,2,0.0051,0.0155,elected
주변 환경,7,7,6,5,5,5,0.0206,2,2,1,0.0051,0.0155,elected
환경 혁신,7,7,7,5,5,5,0.0206,2,2,2,0.0051,0.0155,elected
ai 빅데이터,7,7,6,5,5,4,0.0206,2,2,2,0.0051,0.0155,elected
문화 산업,15,15,15,8,8,8,0.0329,7,7,7,0.0177,0.0152,elected
민원 처리,15,15,15,8,8,8,0.0329,7,7,7,0.0177,0.0152,elected
복합 개발,15,15,15,8,8,8,0.0329,7,7,7,0.0177,0.0152,elected
어린 청소년,15,15,14,8,8,7,0.0329,7,7,7,0.0177,0.0152,elected
경제 일자리,7,7,7,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
공유 시스템,7,7,7,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
관광 브랜드화,7,7,7,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
관광 환경,7,7,6,0,0,0,0,6,6,5,0.0152,-0.0152,non-elected
교통약자 이동지원,7,7,7,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
돌봄 환경,7,7,7,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
민관 협력 ppp,7,7,7,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
상권 매출,7,7,7,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
소부장 기업,7,7,7,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
어린 어르신,7,7,5,0,0,0,0,6,6,4,0.0152,-0.0152,non-elected
예약 시스템,7,7,7,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
인프라 투자,7,7,7,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
인프라 ai,7,7,7,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
재산세 감면,7,7,7,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
축제 육성,7,7,7,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
경력단절 여성,6,6,6,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
관광 시대,6,6,6,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
국회 예결위,6,6,2,0,0,0,0,6,6,2,0.0152,-0.0152,non-elected
민간개발 투자,6,6,2,0,0,0,0,6,6,2,0.0152,-0.0152,non-elected
민관합동 개발,6,6,6,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
분석 시스템,6,6,6,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
쌍방향 소통,6,6,2,0,0,0,0,6,6,2,0.0152,-0.0152,non-elected
연차적 민간,6,6,2,0,0,0,0,6,6,2,0.0152,-0.0152,non-elected
우주항공 산업,6,6,6,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
장애인 돌봄,6,6,6,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
플랫폼 노동자,6,6,6,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
행정 신뢰,6,6,6,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
협약 mou 체결,6,6,6,0,0,0,0,6,6,6,0.0152,-0.0152,non-elected
