category,count,electedCount,nonElectedCount,topKeywords,electedKeywords,nonElectedKeywords
경제/일자리,8533,2781,4198,일자리 창출|기업 유치|청년 일자리|양질 일자리,일자리 창출|기업 유치|양질 일자리|청년 창업,일자리 창출|기업 유치|청년 일자리|양질 일자리
문화/관광,5313,1545,2793,체류형 관광|문화 관광|관광 인프라|교육 문화,체류형 관광|문화 관광|관광 인프라|문화 체육,체류형 관광|문화 관광|관광 인프라|교육 문화
복지,4452,1519,2086,돌봄 체계|돌봄 서비스|의료 복지|통합 돌봄,아이 어르신|의료 복지|돌봄 체계|돌봄 서비스,돌봄 체계|복지 사각지대|의료 돌봄|돌봄 서비스
교육/돌봄,4218,1339,1993,교육 문화|교육 프로그램|아동 청소년|돌봄 체계,교육 프로그램|교육 인프라|교육 문화|돌봄 체계,교육 문화|아동 청소년|돌봄 체계|의료 돌봄
주거/도시개발,3505,1086,1668,재개발 재건축|역세권 개발|청년 주거|콘텐츠 개발,역세권 개발|재개발 재건축|콘텐츠 개발|청년 주거,재개발 재건축|청년 주거|콘텐츠 개발|재건축 재개발
교통,3343,859,1727,교통 인프라|광역 교통망|교통 복지|교통 사각지대,광역 교통망|교통 인프라|교통망 확충|버스 노선,교통 사각지대|교통 인프라|교통 복지|광역 교통망
행정/재정,3033,932,1500,행정 절차|행정 구현|민간 참여|행정 혁신,행정 절차|행정 구현|행정 서비스|행정 혁신,행정 절차|공모 참여|행정 구현|민간 참여
환경,2063,577,1024,주거 환경|교육 환경|친환경 에너지|에너지 자립,주거 환경|있는 환경|에너지 전환|친환경 에너지,교육 환경|에너지 자립|주거 환경|친환경 에너지
안전,825,291,329,교통 안전|복지 안전망|안전 인프라|안전하고 편리한,복지 안전망|안전하고 편리한|교통 안전|안전하고 쾌적한,안전 인프라|교통 안전|복지 안전|복지 안전망
